accident_year,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10
2013,3867,14509,30382,44421,59641,66553,71035,74635,76295,80137
2014,3412,16969,28212,43891,58774,71549,76523,79980,85433,
2015,4048,17164,34801,55911,73455,87344,94494,103138,,
2016,5180,22852,46045,70105,90166,102072,116059,,,
2017,5290,22956,42764,64924,81303,102866,,,,
2018,6000,26160,50679,76494,105538,,,,,
2019,8235,31346,62227,103836,,,,,,
2020,8642,34561,73106,,,,,,,
2021,11693,55070,,,,,,,,
2022,12713,,,,,,,,,
